texto,origen,texto_limpio,tokens,longitud
"This is exciting news Steve, having worked with you at UGL and Kadelco, im not surprised by this news . Congrats to you and the team. Looks like a sensational time ahead. All the best.",linkedin,this is exciting news steve having worked with you at ugl and kadelco im not surprised by this news congrats to you and the team looks like a sensational time ahead all the best,"['this', 'exciting', 'news', 'stev', 'having', 'work', 'with', 'you', 'ugl', 'and', 'kadelc', 'not', 'surpris', 'this', 'news', 'congrats', 'you', 'and', 'the', 'team', 'looks', 'lik', 'sensational', 'tim', 'ahe', 'all', 'the', 'best']",35
"Hi Stephen, we need you to invest here in New Zealand",linkedin,hi stephen we need you to invest here in new zealand,"['steph', 'need', 'you', 'invest', 'her', 'new', 'zealand']",11
"The termination in 2009 of the lease of the US Air Force Base in Manta, Ecuador that was directed at the fight against the narcotics trade in South American happened to coincide coincidentally with the rise in the drug trade in Ecuador.",linkedin,the termination in of the lease of the us air force base in manta ecuador that was directed at the fight against the narcotics trade in south american happened to coincide coincidentally with the rise in the drug trade in ecuador,"['the', 'termination', 'the', 'leas', 'the', 'air', 'forc', 'bas', 'mant', 'ecuador', 'that', 'was', 'direct', 'the', 'fight', 'against', 'the', 'narcotics', 'trad', 'south', 'americ', 'happen', 'coincid', 'coincidentally', 'with', 'the', 'ris', 'the', 'drug', 'trad', 'ecuador']",42
of course we have a chance,linkedin,of course we have a chance,"['cours', 'hav', 'chanc']",6
Muy orgullosa de ti Felipe Ribadeneira,linkedin,muy orgullosa de ti felipe ribadeneira,"['orgull', 'felip', 'ribadeneir']",6
"Felipe. Tu éxito, será el éxito del  Ecuador.  Tú estás preparado para ser un ejemplo de ecuatoriano con muchos valores y méritos.  Un abrazo grande",linkedin,felipe tu exito sera el exito del ecuador tu estas preparado para ser un ejemplo de ecuatoriano con muchos valores y meritos un abrazo grande,"['felip', 'exit', 'ser', 'exit', 'ecuador', 'prepar', 'ser', 'ejempl', 'ecuatorian', 'valor', 'merit', 'abraz', 'grand']",25
More power to Ecuador - it is such a beautiful country!,linkedin,more power to ecuador it is such a beautiful country,"['mor', 'pow', 'ecuador', 'such', 'beautiful', 'country']",11
It is an important milestone for the country. The Gulf area is a strategic area for trade relations between our countries.,linkedin,it is an important milestone for the country the gulf area is a strategic area for trade relations between our countries,"['important', 'mileston', 'for', 'the', 'country', 'the', 'gulf', 'are', 'strategic', 'are', 'for', 'trad', 'relations', 'betw', 'our', 'countri']",21
A historic moment for Ecuador in strengthening its international relations and its approach to new markets and investors,linkedin,a historic moment for ecuador in strengthening its international relations and its approach to new markets and investors,"['historic', 'moment', 'for', 'ecuador', 'strengthening', 'its', 'international', 'relations', 'and', 'its', 'approach', 'new', 'markets', 'and', 'investors']",18
Felicidades Ricardo   Magnífica presencia y apoyo a l gira del Presidente Noboa demostrando y enseñando nuestro Ecuador al mundo.,linkedin,felicidades ricardo magnifica presencia y apoyo a l gira del presidente noboa demostrando y ensenando nuestro ecuador al mundo,"['felic', 'ricard', 'magnif', 'presenci', 'apoy', 'gir', 'president', 'nobo', 'demostr', 'ensen', 'ecuador', 'mund']",19
"What I've seen Noboa do is try to be a carbon copy of Bukele, but with much less success.  And it's not like Bukele has been all that successful either, from what I understand. And yes, he gets on social media and he parades himself as a man of the people (with a bulletproof vest) but it's naturally all for show. It seems that Ecuador is trapped in this cycle of disappointing and power-hungry leadership with no end in sight. … más",linkedin,what ive seen noboa do is try to be a carbon copy of bukele but with much less success and its not like bukele has been all that successful either from what i understand and yes he gets on social media and he parades himself as a man of the people with a bulletproof vest but its naturally all for show it seems that ecuador is trapped in this cycle of disappointing and powerhungry leadership with no end in sight mas,"['what', 'ive', 'seen', 'nobo', 'try', 'carbon', 'copy', 'bukel', 'but', 'with', 'much', 'less', 'success', 'and', 'its', 'not', 'lik', 'bukel', 'been', 'all', 'that', 'successful', 'eith', 'from', 'what', 'understand', 'and', 'yes', 'gets', 'social', 'medi', 'and', 'parad', 'himself', 'man', 'the', 'peopl', 'with', 'bulletproof', 'vest', 'but', 'its', 'naturally', 'all', 'for', 'show', 'seems', 'that', 'ecuador', 'trapp', 'this', 'cycle', 'disappointing', 'and', 'powerhungry', 'leadership', 'with', 'end', 'sight', 'mas']",82
We thrive as one!,linkedin,we thrive as one,"['thriv', 'one']",4
Incredible news! So happy to see how much progress you’ve made on such a valuable project.,linkedin,incredible news so happy to see how much progress youve made on such a valuable project,"['incred', 'news', 'happy', 'see', 'how', 'much', 'progress', 'youv', 'mad', 'such', 'valuabl', 'project']",16
"It's interesting to think about the role of Alcântara, BR, in that discussion.",linkedin,its interesting to think about the role of alcantara br in that discussion,"['its', 'interesting', 'think', 'about', 'the', 'rol', 'alcant', 'that', 'discussion']",13
Ok but he gotta win the April 13 elex first…,linkedin,ok but he gotta win the april elex first,"['but', 'got', 'win', 'the', 'april', 'elex', 'first']",10
Great meeting Sagi Einav! Hope we can make this happen!,linkedin,great meeting sagi einav hope we can make this happen,"['great', 'meeting', 'sagi', 'einav', 'hop', 'can', 'mak', 'this', 'happ']",10
שאפו!! עלו והצליחו כל הכבוד!!,linkedin,,[],5
"Great news for Ecuador! 👏👏 Collaboration with the IDB is essential to strengthen key sectors such as health, security and energy. A solid step toward a more sustainable and inclusive future for the country. 🌱",linkedin,great news for ecuador collaboration with the idb is essential to strengthen key sectors such as health security and energy a solid step toward a more sustainable and inclusive future for the country,"['great', 'news', 'for', 'ecuador', 'collaboration', 'with', 'the', 'idb', 'essential', 'strength', 'key', 'sectors', 'such', 'health', 'security', 'and', 'energy', 'sol', 'step', 'toward', 'mor', 'sustain', 'and', 'inclusiv', 'futur', 'for', 'the', 'country']",35
Congrats Jordan Schwartz great job👏👏👏,linkedin,congrats jordan schwartz great job,"['congrats', 'jord', 'schwartz', 'great', 'job']",5
Isn't Daniel Noboa also with an indigenous leader? Except that he is from the Estados Unidos!,linkedin,isnt daniel noboa also with an indigenous leader except that he is from the estados unidos,"['isnt', 'daniel', 'nobo', 'also', 'with', 'indigenous', 'lead', 'except', 'that', 'from', 'the', 'unid']",16
Daniel noboa won,linkedin,daniel noboa won,"['daniel', 'nobo', 'won']",3
"Security equals prosperity. That is what is taught. Severe situations require severe actions. There is no time to wait for the 4th and 5th generational effects of “education” and the other responses to poverty and crime. He needs results now or he will be the next in the list of failed presidents. People in the US don’t realize what a security state we live in. We have a plethora of federal law enforcement agencies, and at the state level there are state bureaus of investigation, state Highway cops, county sheriffs, local police, school police forces, etc. All to enforce compliance with laws. Imagine if the US only had one national level police force, underfunded, undertrained, and overly politicized. We would be screaming for a Bukele to come to our rescue, too!! … más",linkedin,security equals prosperity that is what is taught severe situations require severe actions there is no time to wait for the th and th generational effects of education and the other responses to poverty and crime he needs results now or he will be the next in the list of failed presidents people in the us dont realize what a security state we live in we have a plethora of federal law enforcement agencies and at the state level there are state bureaus of investigation state highway cops county sheriffs local police school police forces etc all to enforce compliance with laws imagine if the us only had one national level police force underfunded undertrained and overly politicized we would be screaming for a bukele to come to our rescue too mas,"['security', 'equals', 'prosperity', 'that', 'what', 'taught', 'sever', 'situations', 'requir', 'sever', 'actions', 'ther', 'tim', 'wait', 'for', 'the', 'and', 'generational', 'effects', 'education', 'and', 'the', 'other', 'respons', 'poverty', 'and', 'crim', 'needs', 'results', 'now', 'will', 'the', 'next', 'the', 'list', 'fail', 'presidents', 'peopl', 'the', 'dont', 'realiz', 'what', 'security', 'stat', 'liv', 'hav', 'plethor', 'federal', 'law', 'enforcement', 'agenci', 'and', 'the', 'stat', 'level', 'ther', 'are', 'stat', 'bureaus', 'investigation', 'stat', 'highway', 'cops', 'county', 'sheriffs', 'local', 'polic', 'school', 'polic', 'forc', 'etc', 'all', 'enforc', 'complianc', 'with', 'laws', 'imagin', 'the', 'only', 'had', 'one', 'national', 'level', 'polic', 'forc', 'underfund', 'undertrain', 'and', 'overly', 'politiciz', 'would', 'screaming', 'for', 'bukel', 'com', 'our', 'rescu', 'too', 'mas']",133
"This highlights the importance of accelerating exploration and development of critical minerals, particularly in regions like Europe and South America. As the global energy transition advances, ensuring shorter and more secure supply chains for minerals and rare earths will be essential. Many countries in these regions already have significant geological potential. With the right mix of strategic investment, clear regulatory pathways, and collaboration between public and private sectors, they can play a more central role in supporting both economic growth and the broader shift to clean energy while ensuring that development is carried out responsibly and with care for local communities and the environment. … más",linkedin,this highlights the importance of accelerating exploration and development of critical minerals particularly in regions like europe and south america as the global energy transition advances ensuring shorter and more secure supply chains for minerals and rare earths will be essential many countries in these regions already have significant geological potential with the right mix of strategic investment clear regulatory pathways and collaboration between public and private sectors they can play a more central role in supporting both economic growth and the broader shift to clean energy while ensuring that development is carried out responsibly and with care for local communities and the environment mas,"['this', 'highlights', 'the', 'importanc', 'accelerating', 'exploration', 'and', 'development', 'critical', 'minerals', 'particularly', 'regions', 'lik', 'europ', 'and', 'south', 'amer', 'the', 'global', 'energy', 'transition', 'advanc', 'ensuring', 'short', 'and', 'mor', 'secur', 'supply', 'chains', 'for', 'minerals', 'and', 'rar', 'earths', 'will', 'essential', 'many', 'countri', 'thes', 'regions', 'already', 'hav', 'significant', 'geological', 'potential', 'with', 'the', 'right', 'mix', 'strategic', 'investment', 'cle', 'regulatory', 'pathways', 'and', 'collaboration', 'betw', 'public', 'and', 'privat', 'sectors', 'they', 'can', 'play', 'mor', 'central', 'rol', 'supporting', 'both', 'economic', 'growth', 'and', 'the', 'broad', 'shift', 'cle', 'energy', 'whil', 'ensuring', 'that', 'development', 'carri', 'out', 'responsibly', 'and', 'with', 'car', 'for', 'local', 'communiti', 'and', 'the', 'environment', 'mas']",106
"The so call ""commercial war"" between USA and China has a clear winner by far. CHINA.",linkedin,the so call commercial war between usa and china has a clear winner by far china,"['the', 'call', 'commercial', 'war', 'betw', 'usa', 'and', 'chin', 'cle', 'winn', 'far', 'chin']",16
"So proud of you, your journey is beautiful and you will certainly inspire many to look for opportunities 🤍",linkedin,so proud of you your journey is beautiful and you will certainly inspire many to look for opportunities,"['proud', 'you', 'your', 'journey', 'beautiful', 'and', 'you', 'will', 'certainly', 'inspir', 'many', 'look', 'for', 'opportuniti']",19
"Gracias por el documento, excelente  información, con mucha Fe inicia un momento nuevo para un gran país como Ecuador.",linkedin,gracias por el documento excelente informacion con mucha fe inicia un momento nuevo para un gran pais como ecuador,"['graci', 'document', 'excelent', 'inform', 'much', 'inici', 'moment', 'nuev', 'gran', 'pais', 'ecuador']",19
Amazing Anabella!🇪🇨🇬🇧,linkedin,amazing anabella,"['amazing', 'anabell']",2
Congrats to all the team Soeren 🍀👍,linkedin,congrats to all the team soeren,"['congrats', 'all', 'the', 'team', 'soer']",7
Fascinating and always good news to hear that prosperity might be arriving to more people! I am curious if the markets' confidence was also positively impacted by the government's efforts in fighting organized crime.,linkedin,fascinating and always good news to hear that prosperity might be arriving to more people i am curious if the markets confidence was also positively impacted by the governments efforts in fighting organized crime,"['fascinating', 'and', 'always', 'good', 'news', 'hear', 'that', 'prosperity', 'might', 'arriving', 'mor', 'peopl', 'curious', 'the', 'markets', 'confidenc', 'was', 'also', 'positively', 'impact', 'the', 'governments', 'efforts', 'fighting', 'organiz', 'crim']",34
Agreements between countries are essential instruments of international law and foreign policy for governing complex international relations in an orderly manner that is beneficial to the parties involved.,linkedin,agreements between countries are essential instruments of international law and foreign policy for governing complex international relations in an orderly manner that is beneficial to the parties involved,"['agreements', 'betw', 'countri', 'are', 'essential', 'instruments', 'international', 'law', 'and', 'foreign', 'policy', 'for', 'governing', 'complex', 'international', 'relations', 'orderly', 'mann', 'that', 'beneficial', 'the', 'parti', 'involv']",28
"True partnerships go beyond deals, they thrive on shared values and trust.",linkedin,true partnerships go beyond deals they thrive on shared values and trust,"['tru', 'partnerships', 'beyond', 'deals', 'they', 'thriv', 'shar', 'valu', 'and', 'trust']",12
Love the Darwin quote!,linkedin,love the darwin quote,"['lov', 'the', 'darwin', 'quot']",4
"Well said, Clarke.  Joel",linkedin,well said clarke joel,"['well', 'said', 'clark', 'joel']",4
"Fully agree with you; it’s not only a local issue, but rather with global implications and ramifications…. Thanks for making people aware of what’s at stake this Sunday, as we elect between combating narcos or falling deeper into a dark hole….",linkedin,fully agree with you its not only a local issue but rather with global implications and ramifications thanks for making people aware of whats at stake this sunday as we elect between combating narcos or falling deeper into a dark hole,"['fully', 'agre', 'with', 'you', 'its', 'not', 'only', 'local', 'issu', 'but', 'rath', 'with', 'global', 'implications', 'and', 'ramifications', 'thanks', 'for', 'making', 'peopl', 'awar', 'whats', 'stak', 'this', 'sunday', 'elect', 'betw', 'combating', 'narc', 'falling', 'deep', 'into', 'dark', 'hol']",41
Wow! Very cool to have that guy as an influencer. Congrats.,linkedin,wow very cool to have that guy as an influencer congrats,"['wow', 'very', 'cool', 'hav', 'that', 'guy', 'influenc', 'congrats']",11
esto no sirve,linkedin,esto no sirve,['sirv'],3
https://www.theguardian.com/world/2025/mar/12/ecuador-president-blackwater-alliance,linkedin,,[],1
Paving a promising roadmap for the country with the cooperative support of the International Atomic Energy Agency (IAEA). Thanks Rafael Mariano Grossi for your visit and your leadership to support the initiatives. Escuela Politécnica Nacional,linkedin,paving a promising roadmap for the country with the cooperative support of the international atomic energy agency iaea thanks rafael mariano grossi for your visit and your leadership to support the initiatives escuela politecnica nacional,"['paving', 'promising', 'roadmap', 'for', 'the', 'country', 'with', 'the', 'cooperativ', 'support', 'the', 'international', 'atomic', 'energy', 'agency', 'iaea', 'thanks', 'rafael', 'marian', 'grossi', 'for', 'your', 'visit', 'and', 'your', 'leadership', 'support', 'the', 'initiativ', 'escuel', 'politecn', 'nacional']",35
I am delighted to be part of the IAEA team supporting Ecuador's National Technical Cooperation Programme. Let's continue working together to address the new challenges!,linkedin,i am delighted to be part of the iaea team supporting ecuadors national technical cooperation programme lets continue working together to address the new challenges,"['delight', 'part', 'the', 'iaea', 'team', 'supporting', 'ecuadors', 'national', 'technical', 'cooperation', 'programm', 'lets', 'continu', 'working', 'togeth', 'address', 'the', 'new', 'challeng']",25
Excelente 👌 y Que sigas los Éxitos 🙌.  Saludos desde Paraguay.,linkedin,excelente y que sigas los exitos saludos desde paraguay,"['excelent', 'sig', 'exit', 'salud', 'paraguay']",11
